outlet,tweets_ago,text,date,compound,positive,neutral,negative
BBC,0,Pledge to boost mental health support in schools https://t.co/A6nh8MSICF,Sun Dec 03 00:53:43 +0000 2017,0.6597,0.435,0.565,0.0
BBC,-1,Social mobility board quits over lack of progress https://t.co/l6T4k3CAEn,Sat Dec 02 22:55:32 +0000 2017,0.128,0.231,0.579,0.19
BBC,-2,Dalston bus ticket clash: Eight police officers injured https://t.co/IDBFyBXpzU,Sat Dec 02 19:03:17 +0000 2017,-0.4019,0.0,0.748,0.252
BBC,-3,Children's commissioner may consider legal action over Universal Credit https://t.co/VBUgrOVaBF,Sat Dec 02 18:53:04 +0000 2017,0.4767,0.339,0.661,0.0
BBC,-4,"RT @BBCSport: Half an hour gone.

Arsenal 0-2 Man Utd.

Live? https://t.co/KcWELiLlbu #ARSMUN https://t.co/52HL2bn4nW",Sat Dec 02 18:01:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,-5,"RT @bbcweather: Heading out this #SaturdayNight? It'll be generally cloudy, with a little patchy #rain for some. Ben R https://t.co/eCyp8BY…",Sat Dec 02 17:53:21 +0000 2017,0.0,0.0,1.0,0.0
BBC,-6,RT @BBCNewsbeat: The family of 14-year-old Samuel Berkley say they are 'heartbroken' about his death  https://t.co/uwkibpisVX https://t.co/…,Sat Dec 02 17:28:39 +0000 2017,-0.5994,0.0,0.804,0.196
BBC,-7,RT @BBCSport: What a story for Hereford FC - they'll be in the #FACup third round draw https://t.co/QWHazTLw0a https://t.co/bzxXGK2a1C,Sat Dec 02 17:02:29 +0000 2017,0.0,0.0,1.0,0.0
BBC,-8,RT @BBCNewsbeat: Tangled tinsel and wonky trees: feast your eyes on the UK's dodgy Christmas displays https://t.co/HLVfpYXFIV https://t.co/…,Sat Dec 02 16:55:38 +0000 2017,-0.2263,0.0,0.899,0.101
BBC,-9,"RT @BBCSport: Wales survived a remarkable comeback to end their autumn series with a nail-biting win over South Africa.

? https://t.co/pXf…",Sat Dec 02 16:48:36 +0000 2017,0.8934,0.416,0.584,0.0
BBC,-10,"RT @BBCSport: Here are the half-time Premier League scores. How's your team getting on?
https://t.co/CZVS9P2SMe #bbcfootball https://t.co/U…",Sat Dec 02 15:57:36 +0000 2017,0.0,0.0,1.0,0.0
BBC,-11,RT @BBCNewsbeat: Motorway Martin: PC single-handedly stops van from falling off bridge https://t.co/TREilMlB8z https://t.co/19YLSTXTNO,Sat Dec 02 15:29:08 +0000 2017,-0.296,0.0,0.789,0.211
BBC,-12,Barclays axes free Kaspersky product as a 'precaution' https://t.co/hM5VoCy35a,Sat Dec 02 15:02:01 +0000 2017,0.5106,0.32,0.68,0.0
BBC,-13,Whirlpool tumble dryers: MPs' anger as replacement ends https://t.co/DVZGbXlHPr,Sat Dec 02 14:28:13 +0000 2017,-0.5719,0.0,0.684,0.316
BBC,-14,Chief vet defends support of larger hen cages https://t.co/d1PJYfW4ig,Sat Dec 02 14:03:52 +0000 2017,0.4019,0.252,0.748,0.0
BBC,-15,RT @BBCScienceNews: Migraine is 'not just a headache' https://t.co/GjoF5Q29Qh,Sat Dec 02 13:57:30 +0000 2017,0.0,0.0,1.0,0.0
BBC,-16,Motorway PC stops lorry from falling off bridge https://t.co/eoRnM2sCA1,Sat Dec 02 12:40:53 +0000 2017,-0.296,0.0,0.686,0.314
BBC,-17,RT @bbcstories: Errol’s a mechanic and prostate cancer survivor. Now he’s dedicated to getting as many other men diagnosed as he can. What…,Sat Dec 02 12:40:52 +0000 2017,0.0258,0.19,0.657,0.152
BBC,-18,"Boy, 14, dies after being hit on M67 in Hyde https://t.co/zLciXH4tvM",Sat Dec 02 12:23:57 +0000 2017,0.0,0.0,1.0,0.0
BBC,-19,Ashes: Australia on top after day one of second Test in Adelaide https://t.co/n1IoUJJcVi,Sat Dec 02 12:03:23 +0000 2017,0.2023,0.13,0.87,0.0
BBC,-20,"RT @5liveSport: That's close of play for Day 1 at Adelaide. 

Australia are 209-4. Get all the reaction from @Aggerscricket and @philtufnel…",Sat Dec 02 11:54:26 +0000 2017,0.34,0.107,0.893,0.0
BBC,-21,RT @Moneybox: Do we still need cash machines? Some fear the numbers of ATMs could plummet over the next few years. We'll be discussing on M…,Sat Dec 02 11:40:36 +0000 2017,-0.4939,0.0,0.887,0.113
BBC,-22,"RT @BBCBusiness: What do unicorns, zebras, sharks and bees have to do with your money? Explore our full A-Z Business Beasts guide here: htt…",Sat Dec 02 11:31:35 +0000 2017,0.0,0.0,1.0,0.0
BBC,-23,New heart for eight-week-old Charlie Douthwaite https://t.co/LY2qmXZiKl,Sat Dec 02 11:02:15 +0000 2017,0.0,0.0,1.0,0.0
BBC,-24,Rugby League World Cup: Australia edge out England to retain trophy https://t.co/qeNcrUUzSv,Sat Dec 02 11:02:15 +0000 2017,0.0,0.0,1.0,0.0
BBC,-25,"RT @BBCSport: Australia have beaten England to win the #RLWC2017. 

? https://t.co/EwfAqAMrNc #bbcrl https://t.co/pl1rVA7gIx",Sat Dec 02 10:53:36 +0000 2017,0.25,0.216,0.625,0.159
BBC,-26,"RT @BBCSport: WHAT A GAME THIS IS! ? 

10 minutes to go and it could still go either way.

Latest: Australia 6-0 England

Live ? https://t.…",Sat Dec 02 10:41:12 +0000 2017,0.0,0.0,1.0,0.0
BBC,-27,"RT @BBCSport: One thing Australia have done really well in this tournament is be patient, they're continuing with that theme in the #RLWC20…",Sat Dec 02 10:19:18 +0000 2017,0.3384,0.098,0.902,0.0
BBC,-28,"RT @bbctms: WICKET!

Overton takes his first Test wicket and it's Australian captain Steve Smith.

#Ashes
#bbccricket 

Live text &amp; @bbctms…",Sat Dec 02 10:19:06 +0000 2017,0.0,0.0,1.0,0.0
BBC,-29,Car hits pedestrians after Brixton 'altercation' https://t.co/OVUOMYqn15,Sat Dec 02 10:14:46 +0000 2017,0.0,0.0,1.0,0.0
BBC,-30,"RT @BBCSport: The errors proved costly for @England_RL in the first half. 

Live ? https://t.co/EwfAqAMrNc #bbcrl #RLWC2017 #bbcrl https://…",Sat Dec 02 09:57:33 +0000 2017,-0.4215,0.0,0.808,0.192
BBC,-31,"RT @BBCSport: England will be missing captain Sean O'Loughlin... but they always have Sam Burgess. 

Follow the #RLWC2017 final live on @BB…",Sat Dec 02 08:56:42 +0000 2017,-0.1531,0.0,0.929,0.071
BBC,-32,David Cameron: We 'didn't solve' dementia cost challenge https://t.co/r5VXe0eut4,Sat Dec 02 08:42:22 +0000 2017,-0.0752,0.131,0.708,0.161
BBC,-33,"RT @BBCSteveR: Nizhny Novgorod, where England will play Panama in the World Cup, used to be closed to foreigners. What can visiting fans ex…",Sat Dec 02 08:38:13 +0000 2017,0.34,0.094,0.906,0.0
BBC,-34,"RT @BBCSport: If you're just waking up how about #Ashes with your breakfast

#bbcricket

? Live text &amp; @bbctms : https://t.co/GvwGalXjwe ht…",Sat Dec 02 08:18:36 +0000 2017,0.0,0.0,1.0,0.0
BBC,-35,"RT @BBCBusiness: It's a jungle out there in the finance world and we're on a safari. Over the next month, we'll be posting our A-Z of Busin…",Sat Dec 02 08:02:35 +0000 2017,0.0,0.0,1.0,0.0
BBC,-36,New archbishop wants to 'refresh' Church in Wales https://t.co/5y5xr6klgf,Sat Dec 02 07:04:42 +0000 2017,0.0,0.0,1.0,0.0
BBC,-37,Newark: Culture focus to change 'worst town to be poor' label https://t.co/W2MIqL4396,Sat Dec 02 05:40:17 +0000 2017,-0.802,0.0,0.581,0.419
BBC,-38,Damian Green porn claims 'flagrant police breach' https://t.co/gAgB8UyH3x,Sat Dec 02 04:52:33 +0000 2017,0.0,0.0,1.0,0.0
BBC,-39,Murderer William Kerr arrested after absconding from prison https://t.co/Jd0x6rbl5c,Sat Dec 02 02:36:05 +0000 2017,-0.9001,0.0,0.353,0.647
BBC,-40,Five Northampton cat deaths linked to 'Croydon cat killer' probe https://t.co/0HG27KdQMD,Sat Dec 02 02:22:06 +0000 2017,-0.6486,0.0,0.699,0.301
BBC,-41,Murderer William Kerr absconds from HMP Hollesley Bay https://t.co/4fREPvM2Kr,Sat Dec 02 01:20:51 +0000 2017,-0.6808,0.0,0.635,0.365
BBC,-42,My brain 'exploded' after kick in the head https://t.co/i4VSEqGRxL,Sat Dec 02 01:05:54 +0000 2017,0.0,0.0,1.0,0.0
BBC,-43,Pupils' diaries convict Hampshire sex assault teacher https://t.co/VNcF6cDJcY,Sat Dec 02 01:05:54 +0000 2017,-0.5859,0.0,0.648,0.352
BBC,-44,Minister calls for minimum banking services guarantee https://t.co/FOd505qJDU,Sat Dec 02 01:02:22 +0000 2017,0.25,0.222,0.778,0.0
BBC,-45,How much of your salary is spent on rent? https://t.co/Be73VnTgOH,Fri Dec 01 23:54:29 +0000 2017,0.0,0.0,1.0,0.0
BBC,-46,Woman arrested after toddler found alone in Wigan https://t.co/FYaIq5uTX8,Fri Dec 01 23:50:33 +0000 2017,-0.6249,0.0,0.579,0.421
BBC,-47,"Saturday's Times: ""Cabinet split over Green after police porn claims"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/AlosgmD4Xy",Fri Dec 01 22:34:03 +0000 2017,0.0,0.0,1.0,0.0
BBC,-48,"Saturday's Daily Star: ""Murder on the dancefloor"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/KCpP3eOKrT",Fri Dec 01 22:14:59 +0000 2017,-0.6908,0.0,0.701,0.299
BBC,-49,"Saturday's Daily Telegraph: ""Trump aide turns informer in Russia case"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/tO6AJTr0p0",Fri Dec 01 22:14:54 +0000 2017,0.0,0.0,1.0,0.0
BBC,-50,"Saturday's Sun: ""Mega star!"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/Pso8PxvKmW",Fri Dec 01 22:14:54 +0000 2017,0.0,0.0,1.0,0.0
BBC,-51,"Saturday's Daily Mirror: ""The minister for porn"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/tspV9KaKMQ",Fri Dec 01 22:14:49 +0000 2017,0.0,0.0,1.0,0.0
BBC,-52,Kaspersky Labs: Warning over Russian anti-virus software https://t.co/G1t6ShDKYD,Fri Dec 01 22:10:39 +0000 2017,-0.34,0.0,0.745,0.255
